	HA [Flu]	M2 [Flu]	NA [Flu]	NEP [Flu]	NS1 [Flu]	PA [Flu]	PB1 [Flu]	PB2 [Flu]
CA [HEK]	0.232927051864	0.182004915011	0.153328028393	0.198687618046	0.0994738551755	0.196066548752	0.215037593985	0.219372300226
GAG [HEK]	0.190295653984	0.0286221454384	0.0548869881634	-0.0086919701544	-0.0642105659224	-0.0240463686578	-0.0422881484596	-0.0117081424236
GP120 [HEK]	-0.153628405753	-0.0670898641588	-0.155157200269	0.0900872271412	0.025894098976	0.0920820060559	0.00674021612309	0.054324891091
GP160 [HEK]	-0.219074595742	-0.107623042781	-0.24850507191	0.0705479832051	-0.0258550715472	0.0679512321556	-0.0426309041691	-0.0149418140905
GP41 [HEK]	-0.130825304942	-0.0537102946804	-0.161036271141	0.124088816648	0.0590995190494	0.105307191623	0.110032089286	0.115833267597
IN [HEK]	-0.123262473511	-0.188876770897	-0.270629925247	0.112974170183	-0.013346135584	0.110812942316	0.0764430604856	0.0530145946092
MA [HEK]	0.0644248873409	0.0210444071687	0.0118152047313	-0.0138584689195	-0.0914115353654	-0.0106073347335	-0.0347822902552	-0.0326889648134
NC [HEK]	0.204127307351	0.0590683229814	0.0205203234078	-0.0518678758632	-0.0843179555261	-0.0520222045995	-0.0721254355401	-0.04800611124
NEF [HEK]	-0.14871568403	-0.199908315549	-0.321123134042	0.172042636919	-0.0406683747555	0.161048210828	0.117448849493	0.0824987682445
P6 [HEK]	0.232625176316	0.222811204655	0.223992262722	0.0728574200313	0.0271191142114	0.115204563628	0.0607284626612	0.135395409038
POL [HEK]	-0.076102132037	-0.163129411765	-0.227002969647	0.0293738140417	-0.08911730786	-0.00372137763744	-0.0561356585645	-0.0320216817785
PR [HEK]	0.00733264657301	-0.103519115615	-0.0799354332678	0.0287171548781	-0.0666262620123	0.0126136020717	-0.0260326196266	0.0157836219935
Pol [HEK]	-0.117446843796	-0.155860414003	-0.131024414891	0.0380617609896	-0.0886923763898	0.00670098795878	-0.0350502726575	-0.0428324682103
REV [HEK]	0.207605649106	0.0611379618975	0.0197641793579	0.0203902313608	-0.0307062403759	0.0246231948685	-0.027706354975	0.00905381729416
RT [HEK]	-0.00651483496032	-0.0567330067361	-0.0993174660715	-0.0328358818088	-0.140096904729	-0.0237010984032	-0.0467341714087	-0.04243584808
TAT [HEK]	0.169243536252	0.012378188613	-0.0227376098014	0.0494221222164	-0.0314874296453	0.0600281980437	0.0088326963268	0.0213632759545
VIF [HEK]	-0.116815489123	-0.191635023008	-0.234564892088	0.0458065455229	-0.0910662461988	0.038495685582	-0.0307818068456	-0.0432757184533
VPR [HEK]	-0.049597618914	-0.153095238095	-0.109708226161	0.0397918258212	0.0262258179029	0.0328491694677	-0.00224693325606	0.0467174757188
VPU [HEK]	-0.0808357093514	-0.134176136364	-0.243577710575	0.0427306766383	-0.0239852924912	0.0316202469899	0.00204012828358	0.0475867680796
p6 [HEK]	0.240894509212	0.235816441441	0.188679826456	0.1302454694	0.023344409602	0.134518332799	0.120266037638	0.179854361192
