	CA [HEK]	GAG [HEK]	GP120 [HEK]	GP160 [HEK]	GP41 [HEK]	HA [Flu]	IN [HEK]	M2 [Flu]	MA [HEK]	NA [Flu]	NC [HEK]	NEF [HEK]	NEP [Flu]	NS1 [Flu]	P6 [HEK]	PA [Flu]	PB1 [Flu]	PB2 [Flu]	POL [HEK]	PR [HEK]	Pol [HEK]	REV [HEK]	RT [HEK]	TAT [HEK]	VIF [HEK]	VPR [HEK]	VPU [HEK]	p6 [HEK]
CA [HEK]	-1.57894736842	-0.0399910809138	-0.259135253171	-0.190296067334	-0.204978850686	0.232927051864	0.0270877352921	0.182004915011	-0.389956957919	0.153328028393	0.0546350771188	0.0312169235243	0.198687618046	0.0994738551755	-0.447473498492	0.196066548752	0.215037593985	0.219372300226	-0.0493516436931	-0.0884846732215	-0.225156027963	0.101123808056	-0.180407188047	0.118517761492	-0.0432689747705	-0.150055218983	-0.0753091515601	-0.661307834537
GAG [HEK]	-0.0399910809138	-1.18760195759	-0.25838150469	-0.322089196735	-0.275084543941	0.190295653984	-0.35132715102	0.0286221454384	-0.480005585164	0.0548869881634	-0.823521832652	-0.303602599037	-0.0086919701544	-0.0642105659224	-0.164454254177	-0.0240463686578	-0.0422881484596	-0.0117081424236	-0.385984236711	-0.436492221069	-0.383453458416	-0.776086216867	-0.482545505309	-0.715621518632	-0.511445360527	-0.37578815828	-0.421456084351	-0.0786314324835
GP120 [HEK]	-0.259135253171	-0.25838150469	-1.2196969697	-0.785056515492	-0.708280198461	-0.153628405753	-0.426374064532	-0.0670898641588	-0.448832196173	-0.155157200269	-0.10052742616	-0.367986873396	0.0900872271412	0.025894098976	-0.300403384494	0.0920820060559	0.00674021612309	0.054324891091	-0.472042628108	-0.460100691658	-0.582516860472	-0.157982176872	-0.482509464485	-0.134302521483	-0.484664458349	-0.612412587413	-0.526325757576	-0.219917929293
GP160 [HEK]	-0.190296067334	-0.322089196735	-0.785056515492	-1.23598820059	-0.729623965795	-0.219074595742	-0.514306075915	-0.107623042781	-0.461092054864	-0.24850507191	-0.185155117244	-0.464525714782	0.0705479832051	-0.0258550715472	-0.314562551607	0.0679512321556	-0.0426309041691	-0.0149418140905	-0.552308852374	-0.460740263673	-0.579185387854	-0.208503792977	-0.490887833768	-0.215703199927	-0.538556112377	-0.623412555231	-0.567916786723	-0.189940939375
GP41 [HEK]	-0.204978850686	-0.275084543941	-0.708280198461	-0.729623965795	-1.3171641791	-0.130825304942	-0.472817853788	-0.0537102946804	-0.475874159185	-0.161036271141	-0.136016224718	-0.428390865295	0.124088816648	0.0590995190494	-0.260878717906	0.105307191623	0.110032089286	0.115833267597	-0.419600678806	-0.443594631358	-0.547221753745	-0.163431219748	-0.501110117991	-0.152714904004	-0.474774230744	-0.617366590614	-0.549394878458	-0.214500129845
HA [Flu]	0.232927051864	0.190295653984	-0.153628405753	-0.219074595742	-0.130825304942	-1.42253521127	-0.123262473511	-0.430507371716	0.0644248873409	-0.618567439663	0.204127307351	-0.14871568403	-0.00586741276977	-0.339836238019	0.232625176316	0.0335238363711	-0.0777611121273	-0.091538477904	-0.076102132037	0.00733264657301	-0.117446843796	0.207605649106	-0.00651483496032	0.169243536252	-0.116815489123	-0.049597618914	-0.0808357093514	0.240894509212
IN [HEK]	0.0270877352921	-0.35132715102	-0.426374064532	-0.514306075915	-0.472817853788	-0.123262473511	-1.17132867133	-0.188876770897	-0.336907127472	-0.270629925247	-0.196709365401	-0.737279009935	0.112974170183	-0.013346135584	-0.0343721934631	0.110812942316	0.0764430604856	0.0530145946092	-0.627652205887	-0.527307625196	-0.594682722731	-0.316263095826	-0.475041701122	-0.383245347378	-0.729754756587	-0.569220723958	-0.646411601219	-0.0119679783789
M2 [Flu]	0.182004915011	0.0286221454384	-0.0670898641588	-0.107623042781	-0.0537102946804	-0.430507371716	-0.188876770897	-1.38	0.0210444071687	-0.487214422935	0.0590683229814	-0.199908315549	-0.0258005453837	-0.30531099375	0.222811204655	-0.0144645770419	-0.116640926641	-0.184811230661	-0.163129411765	-0.103519115615	-0.155860414003	0.0611379618975	-0.0567330067361	0.012378188613	-0.191635023008	-0.153095238095	-0.134176136364	0.235816441441
MA [HEK]	-0.389956957919	-0.480005585164	-0.448832196173	-0.461092054864	-0.475874159185	0.0644248873409	-0.336907127472	0.0210444071687	-1.21276595745	0.0118152047313	-0.412696394732	-0.3044529514	-0.0138584689195	-0.0914115353654	-0.528957471679	-0.0106073347335	-0.0347822902552	-0.0326889648134	-0.469178963126	-0.500409165303	-0.560977037359	-0.366830141819	-0.641892447915	-0.315303267401	-0.473932485292	-0.482444055328	-0.509252139949	-0.431531788247
NA [Flu]	0.153328028393	0.0548869881634	-0.155157200269	-0.24850507191	-0.161036271141	-0.618567439663	-0.270629925247	-0.487214422935	0.0118152047313	-1.5198019802	0.0205203234078	-0.321123134042	0.0173822916347	-0.294584528599	0.223992262722	0.0405851665055	-0.0146984314636	-0.100013650704	-0.227002969647	-0.0799354332678	-0.131024414891	0.0197641793579	-0.0993174660715	-0.0227376098014	-0.234564892088	-0.109708226161	-0.243577710575	0.188679826456
NC [HEK]	0.0546350771188	-0.823521832652	-0.10052742616	-0.185155117244	-0.136016224718	0.204127307351	-0.196709365401	0.0590683229814	-0.412696394732	0.0205203234078	-1.2	-0.206016709338	-0.0518678758632	-0.0843179555261	-0.115151515152	-0.0520222045995	-0.0721254355401	-0.04800611124	-0.312655625357	-0.336880779984	-0.259414398041	-0.843811533052	-0.433320300282	-0.788263619669	-0.385561401216	-0.253000863558	-0.302332535885	-0.0340748335711
NEF [HEK]	0.0312169235243	-0.303602599037	-0.367986873396	-0.464525714782	-0.428390865295	-0.14871568403	-0.737279009935	-0.199908315549	-0.3044529514	-0.321123134042	-0.206016709338	-1.24861878453	0.172042636919	-0.0406683747555	-0.0389763244568	0.161048210828	0.117448849493	0.0824987682445	-0.589282102999	-0.523523455596	-0.47887790632	-0.318058503345	-0.466510211352	-0.388142349568	-0.658129533628	-0.548503683241	-0.612640033705	0.000128205543883
NEP [Flu]	0.198687618046	-0.0086919701544	0.0900872271412	0.0705479832051	0.124088816648	-0.00586741276977	0.112974170183	-0.0258005453837	-0.0138584689195	0.0173822916347	-0.0518678758632	0.172042636919	-1.29411764706	-0.470945728486	0.0728574200313	-0.748675152597	-0.71544788128	-0.560369668629	0.0293738140417	0.0287171548781	0.0380617609896	0.0203902313608	-0.0328358818088	0.0494221222164	0.0458065455229	0.0397918258212	0.0427306766383	0.1302454694
NS1 [Flu]	0.0994738551755	-0.0642105659224	0.025894098976	-0.0258550715472	0.0590995190494	-0.339836238019	-0.013346135584	-0.30531099375	-0.0914115353654	-0.294584528599	-0.0843179555261	-0.0406683747555	-0.470945728486	-1.38167938931	0.0271191142114	-0.326397661739	-0.443545322362	-0.542878063961	-0.08911730786	-0.0666262620123	-0.0886923763898	-0.0307062403759	-0.140096904729	-0.0314874296453	-0.0910662461988	0.0262258179029	-0.0239852924912	0.023344409602
P6 [HEK]	-0.447473498492	-0.164454254177	-0.300403384494	-0.314562551607	-0.260878717906	0.232625176316	-0.0343721934631	0.222811204655	-0.528957471679	0.223992262722	-0.115151515152	-0.0389763244568	0.0728574200313	0.0271191142114	-1.21487603306	0.115204563628	0.0607284626612	0.135395409038	-0.297194534521	-0.251130063022	-0.311257849391	-0.0597139964647	-0.383233784289	0.0285905034461	-0.188565222656	-0.31144875804	-0.23843177767	-0.635351803011
PA [Flu]	0.196066548752	-0.0240463686578	0.0920820060559	0.0679512321556	0.105307191623	0.0335238363711	0.110812942316	-0.0144645770419	-0.0106073347335	0.0405851665055	-0.0520222045995	0.161048210828	-0.748675152597	-0.326397661739	0.115204563628	-1.28865979381	-0.674143561503	-0.606255271861	-0.00372137763744	0.0126136020717	0.00670098795878	0.0246231948685	-0.0237010984032	0.0600281980437	0.038495685582	0.0328491694677	0.0316202469899	0.134518332799
PB1 [Flu]	0.215037593985	-0.0422881484596	0.00674021612309	-0.0426309041691	0.110032089286	-0.0777611121273	0.0764430604856	-0.116640926641	-0.0347822902552	-0.0146984314636	-0.0721254355401	0.117448849493	-0.71544788128	-0.443545322362	0.0607284626612	-0.674143561503	-1.28571428571	-0.684356296475	-0.0561356585645	-0.0260326196266	-0.0350502726575	-0.027706354975	-0.0467341714087	0.0088326963268	-0.0307818068456	-0.00224693325606	0.00204012828358	0.120266037638
PB2 [Flu]	0.219372300226	-0.0117081424236	0.054324891091	-0.0149418140905	0.115833267597	-0.091538477904	0.0530145946092	-0.184811230661	-0.0326889648134	-0.100013650704	-0.04800611124	0.0824987682445	-0.560369668629	-0.542878063961	0.135395409038	-0.606255271861	-0.684356296475	-1.23741007194	-0.0320216817785	0.0157836219935	-0.0428324682103	0.00905381729416	-0.04243584808	0.0213632759545	-0.0432757184533	0.0467174757188	0.0475867680796	0.179854361192
POL [HEK]	-0.0493516436931	-0.385984236711	-0.472042628108	-0.552308852374	-0.419600678806	-0.076102132037	-0.627652205887	-0.163129411765	-0.469178963126	-0.227002969647	-0.312655625357	-0.589282102999	0.0293738140417	-0.08911730786	-0.297194534521	-0.00372137763744	-0.0561356585645	-0.0320216817785	-1.16705882353	-0.61096817412	-0.636820063662	-0.362847198811	-0.570082597436	-0.386512181293	-0.685879139114	-0.584995951367	-0.586862482961	-0.0911569709458
PR [HEK]	-0.0884846732215	-0.436492221069	-0.460100691658	-0.460740263673	-0.443594631358	0.00733264657301	-0.527307625196	-0.103519115615	-0.500409165303	-0.0799354332678	-0.336880779984	-0.523523455596	0.0287171548781	-0.0666262620123	-0.251130063022	0.0126136020717	-0.0260326196266	0.0157836219935	-0.61096817412	-1.19230769231	-0.582725590446	-0.405044744285	-0.752854582898	-0.408822867685	-0.620617626136	-0.560260271857	-0.509028471528	-0.193339129842
Pol [HEK]	-0.225156027963	-0.383453458416	-0.582516860472	-0.579185387854	-0.547221753745	-0.117446843796	-0.594682722731	-0.155860414003	-0.560977037359	-0.131024414891	-0.259414398041	-0.47887790632	0.0380617609896	-0.0886923763898	-0.311257849391	0.00670098795878	-0.0350502726575	-0.0428324682103	-0.636820063662	-0.582725590446	-1.15269461078	-0.278027561257	-0.563851950503	-0.296236791515	-0.633535977644	-0.587358352459	-0.604603706611	-0.214452925544
REV [HEK]	0.101123808056	-0.776086216867	-0.157982176872	-0.208503792977	-0.163431219748	0.207605649106	-0.316263095826	0.0611379618975	-0.366830141819	0.0197641793579	-0.843811533052	-0.318058503345	0.0203902313608	-0.0307062403759	-0.0597139964647	0.0246231948685	-0.027706354975	0.00905381729416	-0.362847198811	-0.405044744285	-0.278027561257	-1.19873417722	-0.445544000152	-0.906892242854	-0.454233995894	-0.313603199719	-0.388003452244	0.0208243147032
RT [HEK]	-0.180407188047	-0.482545505309	-0.482509464485	-0.490887833768	-0.501110117991	-0.00651483496032	-0.475041701122	-0.0567330067361	-0.641892447915	-0.0993174660715	-0.433320300282	-0.466510211352	-0.0328358818088	-0.140096904729	-0.383233784289	-0.0237010984032	-0.0467341714087	-0.04243584808	-0.570082597436	-0.752854582898	-0.563851950503	-0.445544000152	-1.16304347826	-0.426708872352	-0.616670507559	-0.542195255112	-0.532545869321	-0.285365129935
TAT [HEK]	0.118517761492	-0.715621518632	-0.134302521483	-0.215703199927	-0.152714904004	0.169243536252	-0.383245347378	0.012378188613	-0.315303267401	-0.0227376098014	-0.788263619669	-0.388142349568	0.0494221222164	-0.0314874296453	0.0285905034461	0.0600281980437	0.0088326963268	0.0213632759545	-0.386512181293	-0.408822867685	-0.296236791515	-0.906892242854	-0.426708872352	-1.17514792899	-0.485423208277	-0.319474682531	-0.387039776463	0.0648846345111
VIF [HEK]	-0.0432689747705	-0.511445360527	-0.484664458349	-0.538556112377	-0.474774230744	-0.116815489123	-0.729754756587	-0.191635023008	-0.473932485292	-0.234564892088	-0.385561401216	-0.658129533628	0.0458065455229	-0.0910662461988	-0.188565222656	0.038495685582	-0.0307818068456	-0.0432757184533	-0.685879139114	-0.620617626136	-0.633535977644	-0.454233995894	-0.616670507559	-0.485423208277	-1.12762237762	-0.642656656334	-0.695564371526	-0.0874202207473
VPR [HEK]	-0.150055218983	-0.37578815828	-0.612412587413	-0.623412555231	-0.617366590614	-0.049597618914	-0.569220723958	-0.153095238095	-0.482444055328	-0.109708226161	-0.253000863558	-0.548503683241	0.0397918258212	0.0262258179029	-0.31144875804	0.0328491694677	-0.00224693325606	0.0467174757188	-0.584995951367	-0.560260271857	-0.587358352459	-0.313603199719	-0.542195255112	-0.319474682531	-0.642656656334	-1.25833333333	-0.634576437694	-0.179879385965
VPU [HEK]	-0.0753091515601	-0.421456084351	-0.526325757576	-0.567916786723	-0.549394878458	-0.0808357093514	-0.646411601219	-0.134176136364	-0.509252139949	-0.243577710575	-0.302332535885	-0.612640033705	0.0427306766383	-0.0239852924912	-0.23843177767	0.0316202469899	0.00204012828358	0.0475867680796	-0.586862482961	-0.509028471528	-0.604603706611	-0.388003452244	-0.532545869321	-0.387039776463	-0.695564371526	-0.634576437694	-1.24772727273	-0.104662765717
p6 [HEK]	-0.661307834537	-0.0786314324835	-0.219917929293	-0.189940939375	-0.214500129845	0.240894509212	-0.0119679783789	0.235816441441	-0.431531788247	0.188679826456	-0.0340748335711	0.000128205543883	0.1302454694	0.023344409602	-0.635351803011	0.134518332799	0.120266037638	0.179854361192	-0.0911569709458	-0.193339129842	-0.214452925544	0.0208243147032	-0.285365129935	0.0648846345111	-0.0874202207473	-0.179879385965	-0.104662765717	-1.36458333333
